FirstStructure__c;ClosedYear__c;ClosedDate__c;Closed_Reason__c;Rejected_URP__c;SendExternal__c;SendExternalName__c;ImmediateClosure__c
POLIZIA LOCALE DI ROMA CAPITALE;2026;01/02/2026;In carico a ente esterno;false;true;POLIZIA LOCALE DI ROMA CAPITALE;false
POLIZIA LOCALE DI ROMA CAPITALE;2026;01/02/2026;In carico a ente esterno;false;true;POLIZIA LOCALE DI ROMA CAPITALE;false
POLIZIA LOCALE DI ROMA CAPITALE;2026;01/02/2026;In carico a ente esterno;false;true;POLIZIA LOCALE DI ROMA CAPITALE;false
POLIZIA LOCALE DI ROMA CAPITALE;2026;01/02/2026;In carico a ente esterno;false;true;POLIZIA LOCALE DI ROMA CAPITALE;false
POLIZIA LOCALE DI ROMA CAPITALE;2026;01/02/2026;In carico a ente esterno;false;true;POLIZIA LOCALE DI ROMA CAPITALE;false
AMA;2026;01/02/2026;Risolto da Ente Esterno;false;true;AMA;false
CHIAMAROMA 060606;2026;01/02/2026;Risolto da Ente Esterno;false;true;AMA;false
CHIAMAROMA 060606;2026;01/02/2026;Risolto da Ente Esterno;false;true;AMA;false
AMA;2026;01/02/2026;Risolto da Ente Esterno;false;true;AMA;false
CHIAMAROMA 060606;2026;01/02/2026;Risolto da Ente Esterno;false;true;AMA;false
CHIAMAROMA 060606;2026;01/02/2026;Risolto da Ente Esterno;false;true;AMA;false
POLIZIA LOCALE DI ROMA CAPITALE;2026;01/02/2026;In carico a ente esterno;false;true;POLIZIA LOCALE DI ROMA CAPITALE;false
POLIZIA LOCALE DI ROMA CAPITALE;2026;01/02/2026;In carico a ente esterno;false;true;POLIZIA LOCALE DI ROMA CAPITALE;false
CHIAMAROMA 060606;2026;01/02/2026;Risolto da Ente Esterno;false;true;AMA;false
CHIAMAROMA 060606;2026;01/02/2026;Risolto da Ente Esterno;false;true;AMA;false
CHIAMAROMA 060606;2026;01/02/2026;Risolto da Ente Esterno;false;true;AMA;false
CHIAMAROMA 060606;2026;01/02/2026;Risolto da Ente Esterno;false;true;AMA;false
CHIAMAROMA 060606;2026;01/02/2026;Risolto da Ente Esterno;false;true;AMA;false
CHIAMAROMA 060606;2026;01/02/2026;Risolto da Ente Esterno;false;true;AMA;false
CHIAMAROMA 060606;2026;01/02/2026;Risolto da Ente Esterno;false;true;AMA;false
CHIAMAROMA 060606;2026;01/02/2026;Risolto da Ente Esterno;false;true;AMA;false
MUNICIPIO X;2026;01/02/2026;Risolto da Ente Esterno;false;true;AMA;false
CHIAMAROMA 060606;2026;01/02/2026;Risolto da Ente Esterno;false;true;AMA;false
CHIAMAROMA 060606;2026;01/02/2026;Risolto da Ente Esterno;false;true;AMA;false
